source	k	split	n_pairs	auroc	model	n	val_z_mean	val_z_std
harmbench_standard	4	val	132	0.7809343434343434	hidden_single_position	264	0.5202444541677268	0.28445165728060057
harmbench_standard	4	test	152	0.8084530817174516	hidden_single_position	304	0.5202444541677268	0.28445165728060057
harmbench_standard	8	val	132	0.7600149219467401	hidden_single_position	264	0.5122833779420365	0.2374178819611562
harmbench_standard	8	test	152	0.7703644390581718	hidden_single_position	304	0.5122833779420365	0.2374178819611562
harmbench_standard	16	val	132	0.6616161616161617	hidden_single_position	264	0.4991846731863916	0.1962499201202279
harmbench_standard	16	test	152	0.6898372576177285	hidden_single_position	304	0.4991846731863916	0.1962499201202279
harmbench_standard	32	val	132	0.7877353076216712	hidden_single_position	264	0.4869922380471094	0.22623375008552235
harmbench_standard	32	test	152	0.7399151662049861	hidden_single_position	304	0.4869922380471094	0.22623375008552235
harmbench_standard	64	val	132	0.737345041322314	hidden_single_position	264	0.498915673134792	0.244879368595275
harmbench_standard	64	test	152	0.7253722299168975	hidden_single_position	304	0.498915673134792	0.244879368595275
wildjailbreak_vanilla_harmful	4	val	62	0.7120187304890739	hidden_single_position	124	0.44116109270121784	0.2545113703711617
wildjailbreak_vanilla_harmful	4	test	2019	0.7876308060056506	hidden_single_position	4038	0.44116109270121784	0.2545113703711617
wildjailbreak_vanilla_harmful	8	val	62	0.6856139438085328	hidden_single_position	124	0.4690940252415115	0.21009161382749672
wildjailbreak_vanilla_harmful	8	test	2019	0.750290761784837	hidden_single_position	4038	0.4690940252415115	0.21009161382749672
wildjailbreak_vanilla_harmful	16	val	62	0.5920915712799167	hidden_single_position	124	0.4887670968929606	0.18104763793007403
wildjailbreak_vanilla_harmful	16	test	2019	0.6372417702946329	hidden_single_position	4038	0.4887670968929606	0.18104763793007403
wildjailbreak_vanilla_harmful	32	val	62	0.670525494276795	hidden_single_position	124	0.4809896022441887	0.18616949531810834
wildjailbreak_vanilla_harmful	32	test	2019	0.7069600803265461	hidden_single_position	4038	0.4809896022441887	0.18616949531810834
wildjailbreak_vanilla_harmful	64	val	62	0.6637617065556711	hidden_single_position	124	0.4767702017580309	0.17064808680371152
wildjailbreak_vanilla_harmful	64	test	2019	0.6967836018448808	hidden_single_position	4038	0.4767702017580309	0.17064808680371152
