source	pool_ks	pool_positions	layer	k	test_pairs	test_rows	train_pairs	train_rows	val_alignment	val_pairs	val_rows
harmbench_standard	[4]	['cot_4']	28	4	152	304	1180	2360	{'left_rows': 264, 'right_rows': 264, 'shared_ids': 264, 'aligned_rows': 264, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 132, 'pairs_after': 132, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 264}	132	264
harmbench_standard	[4, 8]	['cot_4', 'cot_8']	28	8	152	304	1180	2360	{'left_rows': 264, 'right_rows': 264, 'shared_ids': 264, 'aligned_rows': 264, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 132, 'pairs_after': 132, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 264}	132	264
harmbench_standard	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	16	152	304	1180	2360	{'left_rows': 264, 'right_rows': 264, 'shared_ids': 264, 'aligned_rows': 264, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 132, 'pairs_after': 132, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 264}	132	264
harmbench_standard	[4, 8, 16, 32]	['cot_4', 'cot_8', 'cot_16', 'cot_32']	28	32	152	304	1180	2360	{'left_rows': 264, 'right_rows': 264, 'shared_ids': 264, 'aligned_rows': 264, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 132, 'pairs_after': 132, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 264}	132	264
harmbench_standard	[4, 8, 16, 32, 64]	['cot_4', 'cot_8', 'cot_16', 'cot_32', 'cot_64']	28	64	152	304	1180	2360	{'left_rows': 264, 'right_rows': 264, 'shared_ids': 264, 'aligned_rows': 264, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 132, 'pairs_after': 132, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 264}	132	264
wildjailbreak_vanilla_harmful	[4]	['cot_4']	28	4	2019	4038	550	1100	{'left_rows': 124, 'right_rows': 124, 'shared_ids': 124, 'aligned_rows': 124, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 62, 'pairs_after': 62, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 124}	62	124
wildjailbreak_vanilla_harmful	[4, 8]	['cot_4', 'cot_8']	28	8	2019	4038	550	1100	{'left_rows': 124, 'right_rows': 124, 'shared_ids': 124, 'aligned_rows': 124, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 62, 'pairs_after': 62, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 124}	62	124
wildjailbreak_vanilla_harmful	[4, 8, 16]	['cot_4', 'cot_8', 'cot_16']	28	16	2019	4038	550	1100	{'left_rows': 124, 'right_rows': 124, 'shared_ids': 124, 'aligned_rows': 124, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 62, 'pairs_after': 62, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 124}	62	124
wildjailbreak_vanilla_harmful	[4, 8, 16, 32]	['cot_4', 'cot_8', 'cot_16', 'cot_32']	28	32	2019	4038	550	1100	{'left_rows': 124, 'right_rows': 124, 'shared_ids': 124, 'aligned_rows': 124, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 62, 'pairs_after': 62, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 124}	62	124
wildjailbreak_vanilla_harmful	[4, 8, 16, 32, 64]	['cot_4', 'cot_8', 'cot_16', 'cot_32', 'cot_64']	28	64	2019	4038	550	1100	{'left_rows': 124, 'right_rows': 124, 'shared_ids': 124, 'aligned_rows': 124, 'label_mismatch': 0, 'pair_mismatch': 0, 'left_dropped': 0, 'right_dropped': 0, 'pairs_before': 62, 'pairs_after': 62, 'pairs_dropped_pair_complete': 0, 'rows_after_pair_complete': 124}	62	124
