source	k	kind	selected_layer	selected_surface_family	residual_protocol	surface_only_test_log_loss	surface_plus_hidden_test_log_loss	delta_log_loss_surface_minus_surface_hidden	delta_log_loss_ci_low	delta_log_loss_ci_high	surface_only_test_auroc	surface_plus_hidden_test_auroc	delta_residual_auroc_surface_hidden_minus_surface	delta_residual_auroc_ci_low	delta_residual_auroc_ci_high	delta_residual_auroc_p_two_sided_zero	delta_residual_auroc_holm_p	aligned_rows	delta_log_loss_n_bootstrap_valid	delta_log_loss_p_two_sided_zero	delta_residual_auroc_n_bootstrap_valid	label_mismatch	left_dropped	left_rows	right_dropped	right_rows	validation_stacker_n
harmbench_standard	4	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.5711467043951052	0.5160074793834128	0.05513922501169233	0.025271568888447858	0.08384377753641631	0.7614915166204985	0.8099679709141273	0.04847645429362879	0.021396186807479164	0.07674428670360106	0.0	0.0	304	500	0.0	500	0	0	304	0	304	264
wildjailbreak_vanilla_harmful	4	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.6154444765308114	0.5738533707422554	0.04159110578855596	0.03505904723729486	0.048025046828546414	0.730405010743651	0.7848159179228729	0.05441090717922181	0.042988114889726384	0.06619326342784645	0.0	0.0	4038	500	0.0	500	0	0	4038	0	4038	124
harmbench_standard	8	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.5243935447175233	0.520688390348999	0.003705154368524255	-0.0038969931197172956	0.01208628200311786	0.7996234418282547	0.8011816135734071	0.0015581717451523813	-0.007943429709141359	0.010909366343490271	0.728	1.0	304	500	0.4	500	0	0	304	0	304	264
wildjailbreak_vanilla_harmful	8	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.5644842871564995	0.5605833060761186	0.0039009810803808387	0.002112179646434201	0.005638695523164344	0.7540763686042529	0.7672604315466662	0.013184062942413366	0.009146052692585407	0.017825347166259407	0.0	0.0	4038	500	0.0	500	0	0	4038	0	4038	124
harmbench_standard	16	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.505639318689895	0.5052748578337865	0.0003644608561085283	-0.0008111389909179784	0.0015057733309268265	0.8293369113573408	0.8297264542936288	0.00038954293628801206	-0.002965936634349131	0.00337820290858732	0.776	1.0	304	500	0.512	500	0	0	304	0	304	264
wildjailbreak_vanilla_harmful	16	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.5357185836902358	0.5292628707317806	0.006455712958455262	0.003105520274750792	0.0096297967962123	0.8002706335380994	0.8051209154439463	0.004850281905846909	-0.0003696434148006408	0.010401145776833893	0.068	0.40800000000000003	4038	500	0.0	500	0	0	4038	0	4038	124
harmbench_standard	32	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.5187619061364412	0.5232582920268394	-0.004496385890398136	-0.02379314035800266	0.015558896478372008	0.7994286703601108	0.8006405817174517	0.001211911357340889	-0.0201372056786704	0.020907635041551298	0.98	1.0	304	500	0.664	500	0	0	304	0	304	264
wildjailbreak_vanilla_harmful	32	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.5380410370946885	0.5323700252981708	0.005671011796517744	0.0023111936303644998	0.009047636623515327	0.8084607815647339	0.8152959220245704	0.006835140459836464	0.001339344086551625	0.012067975579199162	0.016	0.112	4038	500	0.0	500	0	0	4038	0	4038	124
harmbench_standard	64	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.49908413593469036	0.501759411725552	-0.0026752757908616864	-0.011241651898645698	0.004569831915606986	0.8336651662049861	0.8350069252077563	0.0013417590027702264	-0.0046972385734071476	0.007747576177285387	0.616	1.0	304	500	0.436	500	0	0	304	0	304	264
wildjailbreak_vanilla_harmful	64	linear	28	char_tfidf	validation_stacker_not_oof_due_missing_hidden_train_predictions	0.47965816853713295	0.4795375864555776	0.00012058208155535377	-0.0036358210977014936	0.0040080474613660945	0.8507049547378165	0.8522618580640919	0.0015569033262754495	-0.001549059320310389	0.004909210077321452	0.288	1.0	4038	500	0.996	500	0	0	4038	0	4038	124
